hotel,arrival_date_month,lead_time
City Hotel,January,56.61188436830835
City Hotel,February,52.81530715005035
City Hotel,March,73.16274388355528
City Hotel,April,99.11951871657755
City Hotel,May,116.17444120505345
City Hotel,June,124.34697238408918
City Hotel,July,153.58963897131554
City Hotel,August,130.74952688411443
City Hotel,September,127.835
City Hotel,October,125.85325443786982
City Hotel,November,94.02249254073904
City Hotel,December,84.76718296224588
Resort Hotel,January,26.05608755129959
Resort Hotel,February,39.93006767644215
Resort Hotel,March,64.22751798561151
Resort Hotel,April,85.91770573566085
Resort Hotel,May,121.0502950266929
Resort Hotel,June,138.35862068965517
Resort Hotel,July,105.78329324294774
Resort Hotel,August,103.4950960359624
Resort Hotel,September,157.7232947232947
Resort Hotel,October,116.87932489451477
Resort Hotel,November,45.39762002462044
Resort Hotel,December,56.07552870090635
